recipe_name,ingredients_raw,steps,love_count,url,category,total_ingredients,ingredients_cleaned,total_steps,ingredients_clean,steps_clean
abon sapi,"450 gr daging sapi--400 ml santan kekentalan sedang--2 batang serai--4 lembar daun salam--2 ruas lengkuas--7 lembar daun jeruk--2 sdt gula--1, 5 sdt garam (sesuaikan dengan selera ya)--bumbu halus--5 siung bawang merah--3 siung bawang putih--2 ruas kunyit--1 ruas jahe--1 sdt ketumbar--","1) rebus daging bersama serai, daun salam, dan lengkuas hingga empuk. tiriskan. suwir daging hingga menjadi bagian yang halus. jika saya, sebelum direbus, daging saya cincang dahulu. baru setelah itu saya blender sebentar. 
2) tumis bumbu halus bersama daun jeruk hingga harum. masukkan santan dan daging suwirnya. aduk rata. masukkan gula dan garam. aduk rata dan koreksi rasa (sesuaikan dengan selera ya, bisa jadi abon manis atau abon gurih). masak hingga kuah asat dan abon kering. 
3) dinginkan abon dan simpan dalam wadah kedap udara.  sajikan
4) note : semakin kering abon, semakin minim peluang tumbuhnya jamur. saya simpan dalam tupperware dan saya taruh dalam chiller kulkas dan aman. selama 3 minggu, rasa, bau, dan warnanya masih belum berubah  untuk minggu ke empat belum tau, karena abonnya habis pada minggu ketiga. ",82,https://cookpad. com/id/resep/3758046-abon-sapi-homemade,sapi,14,"daging sapi, santan kekentalan, serai, daun salam, lengkuas, daun jeruk, gula, garam, bumbu halus, bawang merah, bawang putih, kunyit, jahe, ketumbar",4,"['450 gr daging sapi', '400 ml santan kekentalan sedang', '2 batang serai', '4 lembar daun salam', '2 ruas lengkuas', '7 lembar daun jeruk', '2 sdt gula', '1, 5 sdt garam (sesuaikan dengan selera ya)', 'bumbu halus', '5 siung bawang merah', '3 siung bawang putih', '2 ruas kunyit', '1 ruas jahe', '1 sdt ketumbar']","['rebus daging bersama serai, daun salam, dan lengkuas hingga empuk', 'tiriskan', 'suwir daging hingga menjadi bagian yang halus', 'jika saya, sebelum direbus, daging saya cincang dahulu', 'baru setelah itu saya blender sebentar', '', 'tumis bumbu halus bersama daun jeruk hingga harum', 'masukkan santan dan daging suwirnya', 'aduk rata', 'masukkan gula dan garam', 'aduk rata dan koreksi rasa (sesuaikan dengan selera ya, bisa jadi abon manis atau abon gurih)', 'masak hingga kuah asat dan abon kering', '', 'dinginkan abon dan simpan dalam wadah kedap udara', ' sajikan', 'note : semakin kering abon, semakin minim peluang tumbuhnya jamur', 'saya simpan dalam tupperware dan saya taruh dalam chiller kulkas dan aman', 'selama 3 minggu, rasa, bau, dan warnanya masih belum berubah  untuk minggu ke empat belum tau, karena abonnya habis pada minggu ketiga', '']"
abon ikan tongkol,"800 gr ikan tongkol--1 buah jeruk nipis--3 sdm bawang merah goreng--5 lembar daun jeruk, dibuang tulangnya--2 lembar daun salam--200 ml santan kental--1 sdt garam--1/2 sdt gula pasir--2 sdm minyak untuk menumis--bumbu halus :--6 butir bawang merah--4 butir bawang putih--3 buah cabai rawit--2 buah cabai merah besar--3 cm lengkuas--3 cm jahe--2 cm kunyit--1 sdt ketumbar--","1) lumuri ikan tongkol dengan air jeruk nipis diamkan 15 menit lalu cuci bersih.
2) kukus ikan sampai matang. angkat suir-suir halus.
3) tumis bumbu halus, daun jeruk, dan daun salam. lalu masukkan santan, garam, dan gula pasir. masak sampai kental. lalu buang daun jeruk dan daun salam. tambahkan suiran ikan. masak dengan api kecil sampai kering.
4) setelah kering angkat dan masukkan bawang merah. aduk rata.",29,https://cookpad.com/id/resep/3491231-abon-ikan-tongkol,ikan,18,"ikan tongkol, jeruk nipis, bawang merah goreng, daun jeruk, dibuang tulangnya, daun salam, santan kental, garam, gula pasir, minyak menumis, bumbu halus, bawang merah, bawang putih, cabai rawit, cabai merah, lengkuas, jahe, kunyit, ketumbar",4,"['800 gr ikan tongkol', '1 buah jeruk nipis', '3 sdm bawang merah goreng', '5 lembar daun jeruk, dibuang tulangnya', '2 lembar daun salam', '200 ml santan kental', '1 sdt garam', '1/2 sdt gula pasir', '2 sdm minyak untuk menumis', '6 butir bawang merah', '4 butir bawang putih', '3 buah cabai rawit', '2 buah cabai merah besar', '3 cm lengkuas', '3 cm jahe', '2 cm kunyit', '1 sdt ketumbar']","['lumuri ikan tongkol dengan air jeruk nipis diamkan 15 menit lalu cuci bersih', 'kukus ikan sampai matang', 'angkat suir-suir halus', 'tumis bumbu halus, daun jeruk, dan daun salam', 'lalu masukkan santan, garam, dan gula pasir', 'masak sampai kental', 'lalu buang daun jeruk dan daun salam', 'tambahkan suiran ikan', 'masak dengan api kecil sampai kering', 'setelah kering angkat dan masukkan bawang merah', 'aduk rata', '']"
asam manis sapi,"1 ons sapi, dipotong2 memanjang--1 buah wortel, dipotong2--3 buah cabai rawit, dipotong2--2 helai daun bawang, potong2--3 siung bawang merah, dipotong2--2 siung bawang putih, dipotong2--1 siung bawang bombay, dipotong2--1 sdt gula pasir--1 sdt garam--1 buah tomat ukuran sedang, dipotong2--jahe sedikit untuk merebus daging agar tidak amis--sedikit asam--secukupnya kecap manis--secukupnya saori saus tiram--secukupnya saus sambal--margarin/ minyak untuk menumis--secukupnya air--","1) cuci bersih daging, kemudian potong2 memanjang
2) masak air hingga mendidih. rebus potongan daging, tambahkan garam dan jahe. setelah daging matang, tiriskan
3) tumis bawang merah, bawang putih, bawang bombay dan cabai sampai berbau harum.
4) masukkan daging dan wortel ke dalam bumbu yang sudah ditumis, aduk hingga rata.
5) tambahkan air secukupnya.
6) tambahkan daun bawang, gula, garam, tomat, dan asam. aduk2 sampai bumbu rata
7) setelah masakan agak mengental, tambahkan kecap manis, saus tiram, dan saus sambal
8) asam manis sapi siap untuk dinikmati :-d",22,https://cookpad.com/id/resep/3601587-asam-manis-daging-sapi,sapi,17,"sapi, dipotong memanjang, wortel, dipotong, cabai rawit, dipotong, daun bawang, potong, bawang merah, dipotong, bawang putih, dipotong, bawang bombay, dipotong, gula pasir, garam, tomat, dipotong, jahe merebus daging amis, asam, kecap manis, saori saus tiram, saus sambal, margarin minyak menumis, air",8,"['1 ons sapi, dipotong2 memanjang', '1 buah wortel, dipotong2', '3 buah cabai rawit, dipotong2', '2 helai daun bawang, potong2', '3 siung bawang merah, dipotong2', '2 siung bawang putih, dipotong2', '1 siung bawang bombay, dipotong2', '1 sdt gula pasir', '1 sdt garam', '1 buah tomat ukuran sedang, dipotong2', 'jahe sedikit untuk merebus daging agar tidak amis', 'sedikit asam', 'secukupnya kecap manis', 'secukupnya saori saus tiram', 'secukupnya saus sambal', 'margarin/ minyak untuk menumis', 'secukupnya air']","['cuci bersih daging, kemudian potong2 memanjang', 'masak air hingga mendidih', 'rebus potongan daging, tambahkan garam dan jahe', 'setelah daging matang, tiriskan', 'tumis bawang merah, bawang putih, bawang bombay dan cabai sampai berbau harum', 'masukkan daging dan wortel ke dalam bumbu yang sudah ditumis, aduk hingga rata', 'tambahkan air secukupnya', 'tambahkan daun bawang, gula, garam, tomat, dan asam', 'aduk2 sampai bumbu rata', 'setelah masakan agak mengental, tambahkan kecap manis, saus tiram, dan saus sambal', 'asam manis sapi siap untuk dinikmati :-d']"
asam manis udang nanas,"400 gr udang buang kulit dan kotoran--1 buah nanas ukuran sedang, siangi dan iris kecil-kecil--secukupnya minyak dan air--secukupnya gula merah--secukupnya gula putih, kaldu bubuk dan garam--Œ¿ bumbu ulek :--10 buah cabai rawit--5 buah bawang merah--3 buah bawang putih--1 buah tomat--","1) udang yang sudah dibersihkan
2) nanas yang sudah dibersihkan
3) panaskan minyak, tumis bumbu ulek hingga harum. masukan gula merah dan sedikit air
4) masukan nanas, gula, kaldu dan garam. aduk-aduk tes rasa
5) jika air sudah surut tambahkan udang, aduk perlahan
6) jika semua sudah tercampur rata, tes rasa kembali jika sudah pas angkat dan sajikan
7) siapkan nasi panas, berdoalah sebelum makan",13,https://cookpad.com/id/resep/4357644-asam-manis-udang-nanas,udang,10,"udang buang kulit kotoran, nanas, siangi, minyak air, gula merah, gula putih, kaldu bubuk garam, bumbu ulek, cabai rawit, bawang merah, bawang putih, tomat",7,"['400 gr udang buang kulit dan kotoran', '1 buah nanas ukuran sedang, siangi dan iris kecil-kecil', 'secukupnya minyak dan air', 'secukupnya gula merah', 'secukupnya gula putih, kaldu bubuk dan garam', '10 buah cabai rawit', '5 buah bawang merah', '3 buah bawang putih', '1 buah tomat']","['udang yang sudah dibersihkan', 'nanas yang sudah dibersihkan', 'panaskan minyak, tumis bumbu ulek hingga harum', 'masukan gula merah dan sedikit air', 'masukan nanas, gula, kaldu dan garam', 'aduk-aduk tes rasa', 'jika air sudah surut tambahkan udang, aduk perlahan', 'jika semua sudah tercampur rata, tes rasa kembali jika sudah pas angkat dan sajikan', 'siapkan nasi panas, berdoalah sebelum makan']"
asam pedas tongkol,1/2 kg ikan tongkol (kepala ikan lebih enak)--1 buah jeruk nipis--secukupnya garam dan gula--secukupnya air masak--3 sdm air asam jawa--belimbing wuluh (opsional)--bumbu halus :--10 buah cabai merah keriting--5 buah cabai rawit (sesuai selera)--5 siung bawang merah--3 siung bawang putih--2 buah tomat--1 ruas kunyit--1 ruas jahe digeprek--1 ruas lengkuas digeprek--1 batang sereh digeprek--1 buah kemiri--2 lembar daun salam--2 lembar daun jeruk--,"1) bersihkan ikan, kucuri dengan air perasan jeruk nipis dan garam. diamkan 15 menit. goreng setengah matang
2) rebus cabai merah, cabai rawit, tomat, bawang merah, dan bawang putih lebih kurang 5 menit. kemudian haluskan bersama kunyit dan kemiri (boleh diulek atau diblender)
3) tumis bumbu halus bersama sereh, jahe, lengkuas, daun salam, dan daun jeruk sebentar saja. masukkan air asam jawa dan air masak. masukkan ikan. tambahkan garam dan gula. diamkan sampai ikan bener2 matang (jangan lama2 ya,ntar ikannya bisa hancur). tes rasa. sajikan",20,https://cookpad.com/id/resep/4023861-asam-pedas-tongkol,ikan,19,"ikan tongkol kepala ikan enak, jeruk nipis, garam gula, air masak, asam jawa, belimbing wuluh, bumbu halus, cabai merah keriting, cabai rawit, bawang merah, bawang putih, tomat, kunyit, jahe digeprek, lengkuas, serai digeprek, kemiri, daun salam, daun jeruk",3,"['1/2 kg ikan tongkol (kepala ikan lebih enak)', '1 buah jeruk nipis', 'secukupnya garam dan gula', 'secukupnya air masak', '3 sdm air asam jawa', 'belimbing wuluh (opsional)', '10 buah cabai merah keriting', '5 buah cabai rawit (sesuai selera)', '5 siung bawang merah', '3 siung bawang putih', '2 buah tomat', '1 ruas kunyit', '1 ruas jahe digeprek', '1 ruas lengkuas digeprek', '1 batang sereh digeprek', '1 buah kemiri', '2 lembar daun salam', '2 lembar daun jeruk']","['bersihkan ikan, kucuri dengan air perasan jeruk nipis dan garam', 'diamkan 15 menit', 'goreng setengah matang', 'rebus cabai merah, cabai rawit, tomat, bawang merah, dan bawang putih lebih kurang 5 menit', 'kemudian haluskan bersama kunyit dan kemiri (boleh diulek atau diblender)', 'tumis bumbu halus bersama sereh, jahe, lengkuas, daun salam, dan daun jeruk sebentar saja', 'masukkan air asam jawa dan air masak', 'masukkan ikan', 'tambahkan garam dan gula', 'diamkan sampai ikan bener2 matang (jangan lama2 ya,ntar ikannya bisa hancur)', 'tes rasa', 'sajikan']"
asem asem bandeng,"2 ekor ikan bandeng segar--1 butir jeruk nipis ambil airnya--iris bumbu--7 siung bawang merah--4 siung bawang putih--2 cm kunyit--2 cm jahe--bumbu pelengkap--4 lbr daun salam--3 cm lengkuas geprek--3 btg serai geprek--secukupnya asam--secukupnya gula, garam--3 buah tomat potong jadi 4--1,2 ltr air bersih--","1) rendam ikan bandeng yang sudah di cuci bersih dengan air jeruk nipis hingga 10 menit.
2) rebus semua bahan termasuk ikan bandeng segar kecuali tomat sampai mendidih. jika kematangan dan rasa sudah pas masukkan tomat aduk rata, angkat.
3) sajikan",33,https://cookpad.com/id/resep/4363822-asem-asem-bandeng,ikan,15,"ikan bandeng segar, jeruk nipis ambil airnya, bumbu, bawang merah, bawang putih, kunyit, jahe, bumbu pelengkap, daun salam, lengkuas, serai geprek, asam, gula, garam, tomat potong, ltr air",3,"['2 ekor ikan bandeng segar', '1 btr jeruk nipis ambil airnya', 'iris bumbu', '7 siung bawang merah', '4 siung bawang putih', '2 cm kunyit', '2 cm jahe', 'bumbu pelengkap', '4 lbr daun salam', '3 cm lengkuas geprek', '3 btg serai geprek', 'secukupnya asam', 'secukupnya gula, garam', '3 buah tomat potong jadi 4', '1,2 ltr air bersih']","['rendam ikan bandeng yang sudah di cuci bersih dengan air jeruk nipis hingga 10 menit', 'rebus semua bahan termasuk ikan bandeng segar kecuali tomat sampai mendidih', 'jika kematangan dan rasa sudah pas masukkan tomat aduk rata, angkat', 'sajikan']"
asem asem buncis sapi,3 ons daging sengkel/kisi--10 btg buncis iris sesuai selera--1 buah wortel potong dadu--4 gelas air--bumbu :--4 siung bawang merah iris tipis--3 siung bawang putih iris tipis--secukupnya lengkuas--1 buah tomat/ blimbing wuluh--secukupnya asam jawa--secukupnya gula merah--secukupnya kecap manis--daun salam--daun jeruk (blh skip)--cabai sesuai selera (sy skip karena skalian buat sikecil)--secukupnya garam--minyak untuk menumis--,"1) rebus daging sampai empuk (untuk menghemat waktu, aq presto sekitar 30 menit) buang kotoran yang ada dipermukaan.
2) tumis duo bawang sampai harum lalu masukkan ke rebusan daging
3) masukkan bumbu2 lainnya, tunggu sampai airnya menyusut/bumbu meresap ke daging.
4) setelah bumbu meresap, masukkan wortel dan buncis. tunggu sampai matang.
5) koreksi rasa. sajikan dengan taburan bawang goreng diatasnya (opsional)",40,https://cookpad.com/id/resep/3715673-asem-asem-buncis-daging-sapi,sapi,17,"daging sengkel kisi, btg buncis, wortel potong dadu, air, bumbu, bawang merah tipis, bawang putih tipis, lengkuas, tomat blimbing wuluh, asam jawa, gula merah, kecap manis, daun salam, daun jeruk blh, cabai karena skalian sikecil, garam, minyak menumis",5,"['3 ons daging sengkel/kisi', '10 btg buncis iris sesuai selera', '1 buah wortel potong dadu', '4 gelas air', '4 siung bawang merah iris tipis', '3 siung bawang putih iris tipis', 'secukupnya lengkuas', '1 buah tomat/ blimbing wuluh', 'secukupnya asam jawa', 'secukupnya gula merah', 'secukupnya kecap manis', 'daun salam', 'daun jeruk (blh skip)', 'cabai sesuai selera (sy skip karena skalian buat sikecil)', 'secukupnya garam', 'minyak untuk menumis']","['rebus daging sampai empuk (untuk menghemat waktu, aq presto sekitar 30 menit) buang kotoran yang ada dipermukaan', 'tumis duo bawang sampai harum lalu masukkan ke rebusan daging', 'masukkan bumbu2 lainnya, tunggu sampai airnya menyusut/bumbu meresap ke daging', 'setelah bumbu meresap, masukkan wortel dan buncis', 'tunggu sampai matang', 'koreksi rasa', 'sajikan dengan taburan bawang goreng diatasnya (opsional)']"
asem asem daging,1/2 kg sapi/kambing bisa d tmbahi dengan tulang/iga (me sapi)--1 siung bawang bombay--3 siung bawang putih--5 siung bawang merah--5 cabai rawit (sesuai selera)--1 sdt jinten--2 cabai merah besar--4 buah tomat (sesuai selera)--2 helai buah bawang daun--1 ruas jahe--3 helai daun salam--garam--gula--merica--air asam jawa--minyak wijen--raja rasa--,"1) masak daging dan msukkan jahe dan daun salam, masak daging sampai empuk.
2) cincang bawang bombay, bawang putih, bawang merah dan haluskan jinten, setelah smw d cincang tumis bumbu sampaiai harum dan kecoklatan.
3) stelah daging empuk masukkan bumbu tumis ke dalam daging, lanjutkan memasak biar bumbu meresap kira2 10 menit.
4) stelah 10 menit, bumbui gr,gula, merica,minyak wijen, raja rasa dan jangan lupa masukkan air asam jawa... tes rasa
5) setelah pas, msukkan cabai rawit dan cabai merah besar, jangan lupa tomat iris2 da daun bawang.
6) stelah semua sudah masukan. asem2 daging siang d nikmati.
7) selamat mencoba.",29,https://cookpad.com/id/resep/3308589-asem-asem-daging,kambing,17,"sapi kambing tmbahi dengan tulang iga me sapi, bawang bombay, bawang putih, bawang merah, cabai rawit, jinten, cabai merah, tomat, bawang daun, jahe, daun salam, garam, gula, merica, asam jawa, minyak wijen, raja",7,"['1/2 kg sapi/kambing bisa d tmbahi dengan tulang/iga (me sapi)', '1 siung bawang bombay', '3 siung bawang putih', '5 siung bawang merah', '5 cabai rawit (sesuai selera)', '1 sdt jinten', '2 cabai merah besar', '4 buah tomat (sesuai selera)', '2 helai buah bawang daun', '1 ruas jahe', '3 helai daun salam', 'garam', 'gula', 'merica', 'air asam jawa', 'minyak wijen', 'raja rasa']","['masak daging dan msukkan jahe dan daun salam, masak daging sampai empuk', 'cincang bawang bombay, bawang putih, bawang merah dan haluskan jinten, setelah smw d cincang tumis bumbu sampaiai harum dan kecoklatan', 'stelah daging empuk masukkan bumbu tumis ke dalam daging, lanjutkan memasak biar bumbu meresap kira2 10 menit', 'stelah 10 menit, bumbui gr,gula, merica,minyak wijen, raja rasa dan jangan lupa masukkan air asam jawa', 'tes rasa', 'setelah pas, msukkan cabai rawit dan cabai merah besar, jangan lupa tomat iris2 da daun bawang', 'stelah semua sudah masukan', 'asem2 daging siang d nikmati', 'selamat mencoba', '']"
asem asem iga kambing,700 gr iga kambing--200 gr jerohan kambing--50 ml minyak goreng--1 lt air putih--1 buah tomat merah (iris)--2 buah tomat hijau (iris)--bumbu iris ::--5 siung bawang putih--7 siung bawang merah--30 gr cabai merah keriting--50 gr cabai hijau keriting--6 cabai rawit (opsional)--1 sdm asem jawa tanpa biji (opsional)--5 cm lengkuas (dimemarkan)--3 lembar daun salam--3 lembar daun jeruk purut--bumbu pelengkap ::--2 sdm kecap manis (opsional)--1 sdt kaldu bubuk--1/3 sdt lada bubuk--secukupnya garam--secukupnya penyedap rasa--secukupnya gula pasir--,"1) siapkan iga dan jerohan kambing yang sudah direbus dan sudah empuk, air rebusan dibuang ya. tiriskan iga dan jerohan kambingnya.
2) panaskan minyak goreng, tumis bumbu iris hingga harum.
3) kemudian tuang air dan masukkan iga serta jerohan kambing, beri bumbu pelengkap..masak hingga mendidih.
4) sesaat sebelum matang masukan irisan tomat, aduk rata..dan matikan api.
5) asem-asem iga kambing ala bunda siap disajikan..selamat sarapan pagi.",40,https://cookpad.com/id/resep/3859121-asem-asem-iga-kambing,kambing,23,"iga kambing, jeroan kambing, minyak goreng, air putih, tomat merah, tomat hijau, bumbu, bawang putih, bawang merah, cabai merah keriting, cabai hijau keriting, cabai rawit, asam jawa biji, lengkuas dimemarkan, daun salam, daun jeruk, bumbu pelengkap, kecap manis, kaldu bubuk, lada, garam, penyedap, gula pasir",5,"['700 gr iga kambing', '200 gr jeroan kambing', '50 ml minyak goreng', '1 lt air putih', '1 buah tomat merah (iris)', '2 buah tomat hijau (iris)', '5 siung bawang putih', '7 siung bawang merah', '30 gr cabai merah keriting', '50 gr cabai hijau keriting', '6 cabai rawit (opsional)', '1 sdm asem jawa tanpa biji (opsional)', '5 cm lengkuas (dimemarkan)', '3 lembar daun salam', '3 lembar daun jeruk purut', '2 sdm kecap manis (opsional)', '1 sdt kaldu bubuk', '1/3 sdt lada bubuk', 'secukupnya garam', 'secukupnya penyedap rasa', 'secukupnya gula pasir']","['siapkan iga dan jeroan kambing yang sudah direbus dan sudah empuk, air rebusan dibuang ya', 'tiriskan iga dan jeroan kambingnya', 'panaskan minyak goreng, tumis bumbu iris hingga harum', 'kemudian tuang air dan masukkan iga serta jeroan kambing, beri bumbu pelengkap masak hingga mendidih', 'sesaat sebelum matang masukan irisan tomat, aduk rata dan matikan api', 'asem-asem iga kambing ala bunda siap disajikan selamat sarapan pagi', '']"
asem asem iga sapi,1/2 kg iga sapi--1.5 lt air--2 lembar daun salam--2 lembar daun jeruk--3 sdm kecap tropicanaslim--secukupnya himsalt--secukupnya penyedap--1 batang serai geprek--3 sdm air asem jawa--bumbu lainnya :--15 buah cabai hijau(patah2 kan)--5 buah cabai merah besar(patah2kan)--7 buah cabai rawit merah dan hijau--6 buah belimbing wuluh(potong jadi 3 bagian)--1 buah tomat hijau besar(potong jadi 8 bagian)--bumbu ulek :--3 siung bawang putih--6 siung bawang merah--,"1) presto iga sapi sekitar 15-20 menit.. matikan api..
2) setelah itu buka tutup prestonya.. nyalakan api.. masukkan daun salam, daun jeruk dan serai
3) tumis bumbu ulek sampai harum
4) masukkan tumisan bumbu ke dalam rebusan iga lalu aduk rata
5) bumbui dengan kecap tropicanaslim,himsalt,dan penyedap lalu aduk rata..
6) tambahkan potongan tomat, belimbing wuluh dan air asem jawa..koreksi rasa..
7) terakhir masukkan cabai hijau, cabai merah dan duo rawit.. masak sebentar sajah
8) matikan kompor
9) siap di santap selagi panas
10) selamat mencoba
11) untuk fase induksi skip tomat dan belimbing wuluhnya ya",21,https://cookpad.com/id/resep/4356452-asem-asem-iga-sapi-ketopad,sapi,18,"iga sapi, lt air, daun salam, daun jeruk, kecap tropicanaslim, himsalt, penyedap, serai geprek, asam jawa, bumbu, cabai hijau patah, cabai merah patah, cabai rawit merah hijau, belimbing wuluh potong, tomat hijau potong, bumbu ulek, bawang putih, bawang merah",11,"['1/2 kg iga sapi', '1.5 lt air', '2 lembar daun salam', '2 lembar daun jeruk', '3 sdm kecap tropicanaslim', 'secukupnya himsalt', 'secukupnya penyedap', '1 batang serai geprek', '3 sdm air asem jawa', '15 buah cabai hijau(patah2 kan)', '5 buah cabai merah besar(patah2kan)', '7 buah cabai rawit merah dan hijau', '6 buah belimbing wuluh(potong jadi 3 bagian)', '1 buah tomat hijau besar(potong jadi 8 bagian)', '3 siung bawang putih', '6 siung bawang merah']","['presto iga sapi sekitar 15-20 menit matikan api', 'setelah itu buka tutup prestonya nyalakan api masukkan daun salam,daun jeruk dan serai', 'tumis bumbu ulek sampai harum', 'masukkan tumisan bumbu ke dalam rebusan iga lalu aduk rata', 'bumbui dengan kecap tropicanaslim,himsalt,dan penyedap lalu aduk rata', 'tambahkan potongan tomat, belimbing wuluh dan air asem jawakoreksi rasa', 'terakhir masukkan cabai hijau,cabai merah dan duo rawit masak sebentar sajah', 'matikan kompor', 'siap di santap selagi panas', 'selamat mencoba', 'untuk fase induksi skip tomat dan belimbing wuluhnya ya']"
asem asem ikan kakap,"1 ekor ikan kakap--5 siung bawang putih--7 siung bawang merah--5 buah tomat hijau--10 buah cabai rawit setan--5 buah cabai hijau keriting--1 lbr daun salam--3 lbr daun jeruk--1 btg serai--1 ruas jahe--1 sdt asam jawa--1 buah jeruk nipis--1 sdt garam, gula pasir, kaldu bubuk--air--","1) peras jeruk nipis, lumuri pada ikan kakap sekitar 10menit. iris tipis bawang putih, bawang merah dan cabai. potong dadu tomat.
2) panaskan minyak goreng, tumis bawang merah dan bawang putih.
3) saat sudah harum masukkan serai, daun salam, daun jeruk dan jahe.
4) lalu masukkan potongan cabai.
5) masukkan air secukupnya, tambahkan asam jawa. biarkan sampai mendidih.
6) kemudian masukkan potongan ikan kakap. tambahkan garam, gula pasir dan kaldu bubuk.
7) masukkan potongan tomat, aduk rata. masak sampai tomat layu.
8) koreksi rasa. asem-asem ikan kakap siap dihidangkan panas2.",18,https://cookpad.com/id/resep/4223519-asem-asem-ikan-kakap,ikan,14,"ikan kakap, bawang putih, bawang merah, tomat hijau, cabai rawit setan, cabai hijau keriting, daun salam, daun jeruk, serai, jahe, asam jawa, jeruk nipis, garam, gula pasir, kaldu bubuk, air",8,"['1 ekor ikan kakap', '5 siung bawang putih', '7 siung bawang merah', '5 buah tomat hijau', '10 buah cabai rawit setan', '5 buah cabai hijau keriting', '1 lbr daun salam', '3 lbr daun jeruk', '1 btg serai', '1 ruas jahe', '1 sdt asam jawa', '1 buah jeruk nipis', '1 sdt garam, gula pasir, kaldu bubuk', 'air']","['peras jeruk nipis, lumuri pada ikan kakap sekitar 10menit', 'iris tipis bawang putih, bawang merah dan cabai', 'potong dadu tomat', 'panaskan minyak goreng, tumis bawang merah dan bawang putih', 'saat sudah harum masukkan serai, daun salam, daun jeruk dan jahe', 'lalu masukkan potongan cabai', 'masukkan air secukupnya, tambahkan asam jawa', 'biarkan sampai mendidih', 'kemudian masukkan potongan ikan kakap', 'tambahkan garam, gula pasir dan kaldu bubuk', 'masukkan potongan tomat, aduk rata', 'masak sampai tomat layu', 'koreksi rasa', 'asem-asem ikan kakap siap dihidangkan panas2', '']"
asem asem kikil sapi,"1 kg kikil sapi (siap masak)--secukupnya daun kedondong--4 biji asam cempling (asam yang msi mentah)--bumbu halus :--6 siung bawang merah--3 siung bawang putih--15 biji cabai rawit hijau--1 ruas laos--1 ruas kunir--garam, gula, penyedap rasa--","1) bersihkan kikil sapi, rebus sampai empuk
2) jika sudah empuk masukkan bumbu halus + asem cempling
3) setelah asem empuk keluarkan, hancurkan asam dalam mangkok tambahkan sedikit air lalu saring masukkan air asam kedlm rebusan kikil tadi
4) tambahkan garam, gula, penyedap terakhir masukkan daun kedondong lalu matikan api, tggu sebentar sampaie aroma dan rasa daun kedondong meresap.
5) sajikan..",54,https://cookpad.com/id/resep/3925350-asem-asem-kikil-sapi,sapi,10,"kikil sapi masak, daun kedondong, biji asam cempling asam msi mentah, bumbu halus, bawang merah, bawang putih, biji cabai rawit hijau, laos, kunir, garam, gula, penyedap",5,"['1 kg kikil sapi (siap masak)', 'secukupnya daun kedondong', '4 biji asam cempling (asam yang msi mentah)', '6 siung bawang merah', '3 siung bawang putih', '15 biji cabai rawit hijau', '1 ruas laos', '1 ruas kunir', 'garam, gula, penyedap rasa']","['bersihkan kikil sapi, rebus sampai empuk', 'jika sudah empuk masukkan bumbu halus + asem cempling', 'setelah asem empuk keluarkan, hancurkan asam dalam mangkok tambahkan sedikit air lalu saring masukkan air asam kedlm rebusan kikil tadi', 'tambahkan garam, gula, penyedap terakhir masukkan daun kedondong lalu matikan api, tggu sebentar sampaie aroma dan rasa daun kedondong meresap', 'sajikan']"
asem asem tulang sapi,"500-700 gr tulang /iga sapi--1500 ml air--5 lbr daun salam--3 ruas lengkuas,geprek--bumbu:--6 siung bawang merah,iris--6 siung bawang putih,iris--5 buah tomat hijau, potong sesuai selera--10 buah cabai rawit utuh--5 sdm air jeruk lemon--garam--gula--merica--","1) rebus/presto tulang dengan daun salam dan lengkuas hingga empuk. biarkan hingga dingin.
2) setelah dingin angkat lemak yang mengapung
3) panaskan tulang dan kaldu sapi
4) masukkan bumbu-bumbu (tidak perlu ditumis). koreksi rasa.
5) siap disantap",29,https://cookpad.com/id/resep/3597496-asem-asem-tulang-sapi,sapi,13,"tulang iga sapi, air, daun salam, lengkuas, geprek, bumbu, bawang merah, bawang putih, tomat hijau, potong, cabai rawit utuh, air jeruk lemon, garam, gula, merica",5,"['500-700 gr tulang /iga sapi', '1500 ml air', '5 lbr daun salam', '3 ruas lengkuas,geprek', '6 siung bawang merah,iris', '6 siung bawang putih,iris', '5 buah tomat hijau, potong sesuai selera', '10 buah cabai rawit utuh', '5 sdm air jeruk lemon', 'garam', 'gula', 'merica']","['rebus/presto tulang dengan daun salam dan lengkuas hingga empuk', 'biarkan hingga dingin', 'setelah dingin angkat lemak yang mengapung', 'panaskan tulang dan kaldu sapi', 'masukkan bumbu-bumbu (tidak perlu ditumis)', 'koreksi rasa', 'siap disantap']"
